c,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,,,,RANK
5,Gustav Drejer Erichsen,Vaerlose (DEN),?,,,"6'6""",,,,,,81,81.0,,,,,
5,London Dada,Omaha Westside,?,Connector Wing,Perimeter Stopper,"6'7""",95,136,81,,,82,98.5,104.0,,,,
,Cameron Barnes,Link Academy,?,,,"6'6""",129,83,42,57,91,,80.4,80.4,,,,
,Chase Lumpkin,McEachern,?,,,"6'4""",77,61,137,36,,,77.8,77.8,,,,
,Jahari Miller,Pike,?,,,"6'3""",125,72,51,43,,,72.8,72.8,,,,
,Jimmie Haywood,Compass Prep,?,,,"6'3""",,92,111,45,,,,,,,,
,Mekhi Robertson,SoCal Academy,?,,,"6'3""",83,86,84,46,,,74.8,74.8,,,,
,Asa Montgomery,Hillgrove,?,,,"6'7""",58,91,85,50,,,71.0,71.0,,,,
,Eden Vinyard,Ferndale,?,,,"6'7""",,112,82,56,,,83.3,83.3,,,,
,Kamsi Awaka,Blair Academy,?,,,"6'10""",89,66,,104,,,86.3,,,,,
,Corey Dixon,Bishop O'Connell,?,,,"6'2""",,104,49,,,,76.5,76.5,,,,
,Jack Kohnen,Slinger,?,,,"6'5""",38,80,52,,,,56.7,56.7,,,,
,Charles Pur,The Burlington School,?,,,"6'10""",85,,54,,,,69.5,69.5,,,,
,Patrick Otey,St. Thomas Moore,?,,,"6'5""",81,43,58,,,,60.7,60.7,,,,
,Godson Okokoh,Iowa United Prep,?,,,"6'7""",86,76,62,,,,74.7,74.7,,,,
,Justin Wise,North Oconee,?,,,"6'4""",129,88,63,,,,93.3,93.3,,,,
,Myles Fuentes,Riviera Prep,?,,,"6'1""",143,78,64,,,,95.0,95.0,,,,
,Lyris Robinson,Bella Vista Prep,?,,,"6'5""",91,98,67,,,,85.3,85.3,,,,
,RJ Moore,Ambassador Christian,?,,,"6'5""",39,25,68,,,,44.0,44.0,,,,
,Tavid Johnson,Francis Parker,New Mexico,Scoring Guard,Chaser,"6'2""",114,95,70,,,,93.0,93.0,,,,
,Chase Richardson,Friendswood,?,,,"6'1""",68,85,72,,,,75.0,75.0,,,,
,Marquis Newson,Neumann Goretti,?,,,"6'4""",150,110,73,,,,111.0,111.0,,,,
,Joshua Rivera,Archbishop Stepinac,?,,,"6'7""",93,73,74,,,,80.0,80.0,,,,
,Keaundre Morris,Curtis Senior,?,,,"6'3""",131,87,75,,,,97.7,97.7,,,,
,Antonio Pemberton,Brewster Academy,?,,,"6'0""",72,38,78,,,,62.7,62.7,,,,
,Tre Keith,Tri-Cities,?,,,"6'1""",138,67,80,,,,95.0,95.0,,,,
,Markus Kerr,Brewster Academy,?,,,"6'5""",55,70,86,,,,70.3,70.3,,,,
,Joshua Tyson,Lakota West,?,,,"6'2""",122,56,87,,,,88.3,88.3,,,,
,Andrew Kretkowski,St. Joseph,?,,,"6'8""",124,68,88,,,,93.3,93.3,,,,
,Quincy Douby Jr.,True North Classical Academy,?,,,"6'3""",96,96,90,,,,94.0,94.0,,,,
,Aaron Britt Jr.,Villages Charter School,?,Primary Ball Handler,,"6'0""",,54,91,,,,72.5,72.5,,,,
,Griffin Starks,Southeastern Prep,?,,,"6'7""",74,,93,,,,83.5,83.5,,,,
,Jalen Brown,Wauwatosa West,?,,,"6'4""",92,65,94,,,,83.7,83.7,,,,
,Ty Schlagel,Cretin-Derham Hall,Nebraska,Off-Ball Wing,,"6'5""",113,114,95,,,,107.3,107.3,,,,
,Jacob Canton,Mt. Zion Prep,?,,,"6'3""",133,102,97,,,,110.7,110.7,,,,
,Jamaal McKnight,Long Island Lutheran,?,,,"5'11""",,90,99,,,,94.5,94.5,,,,
,Brandon Mason Jr.,ABC Prep,?,,,"6'5""",,71,100,,,,85.5,85.5,,,,
,Marri Wesley,Southeastern Prep,?,,,"6'5""",110,100,102,,,,104.0,104.0,,,,
,Nicolas Mitrovic,Cambridge Arts,?,,,"6'10""",49,94,103,,,,82.0,82.0,,,,
,Derek Daniels,Monteverde,?,Post Scorer,,"6'8""",105,82,106,,,,97.7,97.7,,,,
,David Baliraine,Dynamic Prep,?,,,"6'8""",,132,109,,,,120.5,120.5,,,,
,Isaiah Santos,Seven Lakes,?,,,"6'5""",120,81,110,,,,103.7,103.7,,,,
,Kager Knueppel,Wisconsin Lutheran,?,,,"6'8""",46,123,112,,,,93.7,93.7,,,,
,Greyson Pierce,St. Thomas Moore,?,,,"6'7""",,,113,,,,113.0,113.0,,,,
,Sekou Cisse,Principa,?,,,"6'9""",88,,115,,,,101.5,101.5,,,,
,Thomas Vickery,Myers Park,?,,,"6'5""",101,116,117,,,,111.3,111.3,,,,
,Shawn Foster,Lima Senior,?,,,"6'1""",,105,118,,,,111.5,111.5,,,,
,Marcus Curry Jr.,Grayson,?,,,"6'5""",,106,119,,,,112.5,112.5,,,,
,Jimmy McKinney,Vashon,?,,,"6'1""",,111,120,,,,115.5,115.5,,,,
,Ty Cobb,Upperman,Liberty,Primary Ball Handler,Point-of-Attack,"6'1""",128,,121,,,,124.5,124.5,,,,
,Isaiah Mack-Russell,Winton Woods,?,,,"6'3""",,101,126,,,,113.5,113.5,,,,
,Crew Fotheringham,Lone Peak,?,,,"6'8""",60,,127,,,,93.5,93.5,,,,
,Ferlandes Wright,La Lumiere,Louisville,,,"6'7""",129,75,133,,,,,,,,,
,Christopher Brown,Dream City Christian,?,,,"6'10""",80,115,135,,,,110.0,110.0,,,,
,Jacques Mitchell,Booker T. Washington,?,,,"6'2""",108,118,136,,,,120.7,120.7,,,,
,Darrell Davis,SPIRE Academy,?,,,"5'11""",98,60,138,,,,98.7,98.7,,,,
,King Kendrick,Caldwell Academy,?,,,"6'0""",,117,139,,,,128.0,128.0,,,,
,Deuce McDuffie,Nicolette,?,,,"6'5""",62,,140,,,,101.0,101.0,,,,
,Jalen White,Bella Vista Prep,?,,,"6'6""",127,74,141,,,,114.0,114.0,,,,
,Jacoby Briscoe,St. James Academy,?,,,"6'6""",104,137,149,,,,130.0,130.0,,,,
,Isaac Ellis,Overtime Elite,Louisville,,,"6'1""",,107,172,,,,139.5,139.5,,,,
,Baboucarr Ann,Maple Grove (GMB),?,,,"6'4""",57,64,,,,,60.5,60.5,,,,
