TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,,,,,,RANK
,CJ Moore,Ridge View,?,,,"6'7""",29,42,49,,18,,34.5,,,,,,
,Cole Kelly,Neuqua Valley,?,,,"6'6""",41,38,34,,36,,37.3,,,,,,
,Kevin Wheatley,Our Savior Lutheran,?,,,"6'6""",20,28,45,,58,,37.8,,,,,,
,Emmanuel Nwabuoku,St. John's,?,,,"6'9""",39,57,36,,30,,40.5,,,,,,
,Noah Washington,New Albany Senior,?,,,"6'5""",45,34,52,,42,,43.3,,,,,,
,K'majay Jenkins,DME Academy,?,,,"6'6""",35,59,41,,,,45.0,,,,,,
,Trey Edwards,Melissa,?,,,"6'4""",42,52,46,,44,,46.0,,,,,,
,Braxton Bogard,Archbishop Spalding,?,,,"6'8""",58,41,65,21,49,,46.8,,,,,,
,Settima Yugo,Bella Vista Prep (CAN),?,,,"6'8""",47,,,,,,47.0,,,,,,
,Jordan Mize,Sierra Canyon,?,,,6'5',38,49,44,,66,,49.3,,,,,,
,Brielen Craft,Pace Academy ,,,,6'0'',,44,,,105,,49.7,,,,,,
,Brielen Craft,Pace Academy,?,Primary Ball Handler,Point-of-Attack,"6'2""",,44,56,,,,50.0,,,,,,
,Mamadou Barry,Vianney,?,Play Finishing Big,Rim Protector,"7'1""",,,50,,,,50.0,,,,,,
,Jermaine Agyeman,Florida Christian School,?,Play Finishing Big,Rim Protector,"6'10""",62,,39,,,,50.5,,,,,,
,Ian Archbold,Blair Academy ,?,Scoring Wing,Perimeter Stopper,"6'6""",72,,53,,28,,51.0,,,,,,
,Rezon Harris,Father Judge,?,,,"6'6""",48,46,51,,60,,51.3,,,,,,
,Will Nelson,Madison Prep Academy,?,,,"6'6""",66,31,40,,68,,51.3,,,,,,
,Kaharri Coleman,West Charlotte,?,Primary Ball Handler,Perimeter Stopper,"6'4""",52,48,58,,,,52.7,,,,,,
,Carter George,Roseville,?,,,"6'6""",,,54,,61,,57.5,,,,,,
,Mateen Cleaves Jr,Dream City Christian,?,Primary Ball Handler,Point-of-Attack,"6'3""",61,51,33,,86,,57.8,,,,,,
,Tyler Sutton,Overtime Elite,?,,,"6'2""",65,55,59,,,,59.7,,,,,,
,Peter Julius,Mt. Bethel Christian Academy,?,,,"6'8""",69,56,48,,67,,60.0,,,,,,
,Darren Ford,Ruston,?,Primary Ball Handler,Point-of-Attack,"6'3""",,,68,,54,,61.0,,,,,,
,Trey McKinney,Bishop Gorman,?,,,"6'5""",46,,,,76,,61.0,,,,,,
,Nijaun Harris,St. Petersburg,?,Scoring Guard,Perimeter Stopper,"6'5""",68,54,62,,,,61.3,,,,,,
,Stra Zelic,Wasatch Academy,?,Play Finishing Big,Play Finishing Big,"6'11""",56,63,67,,,,62.0,,,,,,
,Dylan Zeigler,Lutheran East,?,Combo Guard,Perimeter Stopper,"6'3""",63,,57,,70,,63.3,,,,,,
,Baer Bailey,Greater Atlanta Christian,?,,,"6'8""",75,,92,,32,,66.3,,,,,,
,Jayden Cecil,Utah Prep,?,,,"6'4""",44,,69,,90,,67.7,,,,,,
,Kareem Smith-Bey,St. John's,?,,,"6'8""",83,61,93,,46,,70.8,,,,,,
,Mo Kourouma,Chaminade,?,,,"6'8""",70,,72,,,,71.0,,,,,,
,Troy Kaufusi,Orem,?,Primary Ball Handler,Point-of-Attack,6'3,53,,81,,84,,72.7,,,,,,
,Kinston Knueppel,Wisconsin Lutheran,?,Movement Shooter,Perimeter Stopper,"6'7""",99,,70,,50,,73.0,,,,,,
,Jaden McCollough,Holy Innocents,?,Scoring Guard,Perimeter Disruptor,"6'3""",,68,78,,,,73.0,,,,,,
,Keaton Murry,Putnam City North ,,,,6'1'',,60,,,89,,74.5,,,,,,
,Carter Coleman,Oklahoma Christian Academy,?,,,"6'7""",,,75,,,,75.0,,,,,,
,Martray Bagley,Dream City Christian,,,,6'5'',71,,,,82,,76.5,,,,,,
,Enmanuel Valera Melo,The Phelps School,?,,,"6'6""",,,77,,77,,77.0,,,,,,
,Micah Gunter,Greensboro Day,?,,,"6'3""",,,79,,,,79.0,,,,,,
,Mekhi Allen,Queens Grant ,,,,6'4'',88,,,,73,,80.5,,,,,,
,Derek Swartz,Portsmouth,?,,,"6'5""",90,63,98,,72,,80.8,,,,,,
,Toussaint Malukila,Paul IV,?,Play Finishing Big,Rim Protector,"7'0""",93,,73,,79,,81.7,,,,,,
,Keonte Smith,Northridge,?,,,"6'5""",,67,84,,94,,81.7,,,,,,
,Marque Johnson,Lawrenceville School,?,,,"6'5""",91,,60,,95,,82.0,,,,,,
,Carter Smith,William Penn Charter,?,,,"6'3""",98,69,76,,87,,82.5,,,,,,
,Igniire Muhammad,Lincoln-Warren,?,,,"6'6""",,,83,,,,83.0,,,,,,
,Tjay Brunson,Cleveland,?,,,"6'6""",76,,91,,,,83.5,,,,,,
,Terry McKinney III,Millennium,?,Wing Scorer,Permeter Stopper,"6'6""",,,89,,81,,85.0,,,,,,
,Amarion Smith-Holley,Peoria Richwoods,?,,,"6'0""",,,85,,,,85.0,,,,,,
,Joey Kohen,Slinger,?,,,"6'5""",92,,88,,80,,86.7,,,,,,
,Joshua Huggins,Briarcrest Christian,?,,,"6'6""",,58,66,,138,,87.3,,,,,,
