Team,Division,Name,Games,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3pr,FTM,FTA,FT%,FTr
AOT,16U,Ogo Ekweozor,6,15:00,3.8,1.3,1,2.5,3.5,0.2,0.2,0.4,1,1.30,1.8,23,40,9,25,36,7,19,36.8,2,6,33.3,0.240,3,8,37.5,0.320
Bates Fundamentals,16U,Gavin Bobbitt,5,10:28,3.8,0.2,1.2,0.8,2,0.4,0,0.4,1,0.20,0,19,53.3,7,15,46.7,5,8,62.5,2,7,28.6,0.467,3,7,42.9,0.467
Jet Academy,16U,Madden Geiger,5,8:22,3.8,0,0.6,0.8,1.4,0.2,0.2,0.4,0.4,0.00,0.8,19,44.4,6,18,33.3,2,5,40,4,13,30.8,0.722,3,4,75,0.222
Mac Irvin Fire,16U,Reggie Stevens,4,10,3.8,0.2,0.5,0.8,1.2,0.2,0.2,0.4,0.5,0.40,0,15,33.3,4,15,26.7,2,7,28.6,2,8,25,0.533,5,7,71.4,0.467
Bates Fundamentals,16U,Devin Braun,3,22:47,3.7,1,1.7,1.3,3,1.3,0,1.3,1,1.00,1.7,11,33.3,2,9,22.2,0,6,0,2,3,66.7,0.333,5,6,83.3,0.667
Florida Rebels,16U,Antonio Baymon,3,10:30,3.7,1.7,0.3,1.3,1.7,1,0,1,1.3,1.31,1,11,35,3,10,30,2,4,50,1,6,16.7,0.600,4,4,100,0.400
PG Elite,16U,Carter Barnes,6,12:06,3.7,1.3,0.7,1.2,1.8,0.7,0.2,0.9,1.2,1.08,1.5,22,33.3,5,21,23.8,1,3,33.3,4,18,22.2,0.857,8,9,88.9,0.429
Oakland Soldiers,16U,Caron Perez,11,10:54,3.7,1,0.4,1.2,1.5,0.4,0,0.4,1.5,0.67,1.2,41,50,17,38,44.7,13,21,61.9,4,17,23.5,0.447,3,5,60,0.132
Team CP3,16U,Carlos Marshall,8,16:17,3.5,0.6,2,2.9,4.9,1.8,0,1.8,1.2,0.50,1.1,28,34.6,9,26,34.6,9,26,34.6,0,0,0,0.000,10,13,76.9,0.500
Legynds,16U,Brennan Malone,12,15:32,3.5,0.8,1.3,2.1,3.4,1.1,0.6,1.7,0.7,1.14,2.8,42,57.8,17,32,53.1,14,24,58.3,3,8,37.5,0.250,5,7,71.4,0.219
PSA Cardinals,16U,Ray Fernandez,11,13:29,3.5,0.6,0.9,1.9,2.8,0.8,0.3,1.1,1,0.60,1.3,38,38.5,15,48,31.2,8,17,47.1,7,31,22.6,0.646,1,2,50,0.042
NJ Scholars,16U,Jackson Lockett,8,15:24,3.5,1,1.9,2.2,4.1,0.5,0.6,1.1,0.9,1.11,1.8,28,54.5,12,22,54.5,12,21,57.1,0,1,0,0.045,4,8,50,0.364
Houston Hoops,16U,jevon walker,4,14:20,3.5,1.8,1,2,3,0.5,0,0.5,1.8,1.00,2.8,14,27.8,2,9,22.2,1,4,25,1,5,20,0.556,9,15,60,1.667
Bates Fundamentals,16U,Prince,2,16:02,3.5,2,1.5,0.5,2,0.5,0,0.5,1.5,1.33,4.5,7,33.3,2,6,33.3,2,5,40,0,1,0,0.167,3,6,50,1.000
Bates Fundamentals,16U,Kordell Robinson,12,18:02,3.4,2.6,0.8,2.7,3.5,1.1,0.9,2,2,1.30,1.6,41,26.9,16,65,24.6,13,42,31,3,23,13,0.354,6,7,85.7,0.108
The Family,16U,Isaiah Marino,12,11:53,3.4,0.3,0.8,1.3,2.2,0.3,0.2,0.5,0.8,0.38,0.9,41,43.1,15,36,41.7,14,29,48.3,1,7,14.3,0.194,10,15,66.7,0.417
Boo Williams,16U,Brandon Brooks,8,8:07,3.4,0.4,0.8,1.5,2.2,0.1,0,0.1,0.9,0.44,1.4,27,61.4,13,22,59.1,12,21,57.1,1,1,100,0.045,0,2,0,0.091
NY Lightning,16U,Parish Roots,3,6:24,3.3,0,0,0.3,0.3,1.3,0,1.3,0.7,0.00,0.3,10,62.5,5,8,62.5,5,6,83.3,0,2,0,0.250,0,0,0,0.000
AOT,16U,C.J. Tillis,3,20:55,3.3,0.3,1,1.7,2.7,0.3,0.3,0.6,0.7,0.43,2,10,35,3,10,30,2,6,33.3,1,4,25,0.400,3,5,60,0.500
NW Rotary,16U,Muhammed Carter,7,10:30,3.3,0.3,1.6,0.6,2.1,0.4,0.1,0.5,0.7,0.43,0.9,23,47.7,10,22,45.5,9,21,42.9,1,1,100,0.045,2,6,33.3,0.273
LivOn,16U,Jakyri Martin,4,17:02,3.2,1.8,1,1.5,2.5,1.5,0.8,2.3,1.2,1.50,0.8,13,42.9,4,14,28.6,0,1,0,4,13,30.8,0.929,1,2,50,0.143
Houston Hoops,16U,Justin Lee,4,12:23,3.2,0.5,1.5,1,2.5,0.8,0.8,1.6,0.2,2.50,0.8,13,29.5,6,22,27.3,5,14,35.7,1,8,12.5,0.364,0,3,0,0.136
AOT,16U,Oghenetega Oubre,4,23:08,3.2,0.5,2.5,4.8,7.2,0.2,1.2,1.4,0.8,0.63,3.8,13,45.5,5,11,45.5,5,11,45.5,0,0,0,0.000,3,11,27.3,1.000
Team Melo,16U,Larry Duncan lll,4,12:24,3.2,0.2,1,1.5,2.5,0.8,0,0.8,0.2,1.00,0.5,13,22.7,5,22,22.7,5,13,38.5,0,9,0,0.409,3,5,60,0.227
