"conferenceId","Team ID","Team Market","position","Player Height","Class Year","playerId","jerseyNum","fullName","Games Started","Games Played","Minutes Played","Assist Pct","Assist Pct %ile","Assist Ratio","Assist Ratio %ile","Turnover Pct","Turnover Pct %ile","Ast/Tov Ratio","Ast/Tov Ratio %ile","Usage Pct","Usage Pct %ile","True Shooting %","True Shooting % %ile","2-Point Pct","2-Point Pct %ile","3-Point Pct","3-Point Pct %ile","Free Throw Pct","Free Throw Pct %ile","Off Rebound Pct","Off Rebound Pct %ile","FT Attempt Rate","FT Attempt Rate %ile","3-Point Att Rate","3-Point Att Rate %ile"
"87","104390","Utah St.","F","81","Junior","2120108","22","Karson Templin","7","35","670.63","0.07012","0.44","0.08043","0.3","0.11437","0.78","0.76471","0.44","0.22729","0.82","0.58678","0.61","0.56579","0.56","0.33871","0.67","0.66071","0.48","0.11821","0.84","0.52336","0.74","0.28972","0.59"
"87","104390","Utah St.","F","81","Senior","1946210","11","Garry Clark","1","35","568.29","0.06843","0.42","0.09702","0.44","0.1228","0.7","0.875","0.54","0.17634","0.52","0.69428","0.97","0.74046","0.98","0.14286","0.17","0.53947","0.2","0.15237","0.97","0.55072","0.77","0.05072","0.3"
"87","104390","Utah St.","F","82","Senior","1904578","32","Zach Keller","27","35","475.7","0.06145","0.35","0.1307","0.69","0.17541","0.3","0.85714","0.53","0.12904","0.17","0.61297","0.75","0.58462","0.65","0.47059","0.96","0.55263","0.22","0.07692","0.48","0.46341","0.64","0.20732","0.5"
"60","104389","Utah","F","80","Freshman","2474919","13","Kendyl Sanders","0","32","641.38","0.05797","0.31","0.10789","0.53","0.1267","0.67","0.95455","0.61","0.13954","0.23","0.5442","0.37","0.4918","0.23","0.4026","0.89","0.3871","0.06","0.04212","0.12","0.22464","0.16","0.55797","0.86"
"60","104389","Utah","F","79","Junior","2147079","0","Seydou Traore","31","31","890.59","0.12467","0.82","0.15435","0.8","0.16756","0.35","1.08929","0.7","0.19363","0.64","0.50144","0.18","0.44","0.1","0.33333","0.65","0.72727","0.7","0.02638","0.04","0.21654","0.15","0.50787","0.82"
"60","104389","Utah","F","81","Junior","2127738","8","Keanu Dawes","32","32","984.45","0.13754","0.87","0.15642","0.81","0.15586","0.43","1.18966","0.76","0.19483","0.64","0.63515","0.84","0.68235","0.94","0.31683","0.56","0.72449","0.69","0.07517","0.47","0.36162","0.44","0.37269","0.68"
"60","104389","Utah","F","81","Junior","2127613","7","Josh Hayes","10","32","422.82","0.03719","0.13","0.09644","0.44","0.16603","0.36","0.64286","0.34","0.10279","0.07","0.64723","0.89","0.63793","0.85","","","0.60714","0.34","0.09445","0.65","0.48276","0.68","0","0.16"
"60","104389","Utah","F","80","Senior","1698336","32","James Okonkwo","22","29","627.72","0.05851","0.32","0.18303","0.91","0.23422","0.09","0.95652","0.61","0.08126","0.02","0.55186","0.41","0.51613","0.33","","","0.63333","0.41","0.14989","0.97","0.48387","0.68","0","0.16"
"17","104382","UTSA","F","80","Freshman","2548802","1","Kaidon Rayfield","11","24","470.97","0.08569","0.59","0.09065","0.39","0.12592","0.68","0.79167","0.46","0.19917","0.67","0.45618","0.08","0.44444","0.11","0.23077","0.29","0.56923","0.26","0.07848","0.5","0.47101","0.65","0.28261","0.59"
"17","104382","UTSA","F","78","Junior","2548800","4","Brent Moss","15","27","730.53","0.07096","0.44","0.07314","0.24","0.08877","0.91","0.88889","0.55","0.20563","0.71","0.46537","0.1","0.40171","0.05","0.31469","0.55","0.74359","0.75","0.04413","0.14","0.15","0.06","0.55","0.86"
"17","104382","UTSA","F","80","Freshman","2548790","23","Matheo Coffi","19","28","541.66","0.08166","0.55","0.16566","0.85","0.21581","0.12","0.92","0.58","0.10539","0.07","0.53965","0.35","0.52083","0.34","0.36842","0.78","0.54545","0.21","0.08925","0.61","0.12791","0.04","0.44186","0.75"
