Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
Team CPSA,16U,Jeremias Killebrew,3,8,8,1,2,0,0.00%,-,3,4,7,42.90%,57.10%,53.80%,7,1,0,1,100.00%,2,4,6,33.30%,0.86,1,0,1,0.00%,12.50%,0.14,0,0.00%,37.50%,0,0.00%,3,0,3,0,0,-,1,0,0,1,3,2,0.5,6.1,0,0
Cooz Elite,16U,Noah Musngi,5,8,6,0.75,1,0,0.00%,-,2,6,8,25.00%,37.50%,37.50%,8,0,0,0,-,2,6,8,25.00%,1,0,0,0,-,0.00%,0,0,0.00%,25.00%,0,0.00%,2,1,1,0,0,-,0,0,0,0,0,0,-,2.9,0,0
Louisiana Elite,16U,Chase Hardin,3,8,6,0.75,1,1,12.50%,1,3,4,7,42.90%,42.90%,42.90%,7,3,4,7,42.90%,0,0,0,-,0,0,0,0,-,0.00%,0,0,0.00%,37.50%,0,0.00%,5,4,1,0,0,0,1,0,0,1,0,3,0.33,4.6,0,0
Team Museum,16U,Nicholas Wild,3,8,8,1,0,2,25.00%,0,3,3,6,50.00%,58.30%,62.10%,6,2,2,4,50.00%,1,1,2,50.00%,0.33,1,1,0,100.00%,12.50%,0.17,1,12.50%,37.50%,1,12.50%,12,5,7,1,1,0.5,2,1,0.17,3,1,8,0.25,7.8,0,0
1of1,16U,Knox Ferry,1,7,7,1,2,0,0.00%,-,2,3,5,40.00%,40.00%,51.80%,7,2,3,5,40.00%,0,0,0,-,0,4,3,1,75.00%,28.60%,0.8,0,0.00%,57.10%,2,28.60%,5,2,3,1,0,-,0,1,0.2,1,2,1,0,8.2,0,0
Louisiana Elite,16U,Anthony Dennis,1,7,2,0.286,0,1,14.30%,0,1,5,6,16.70%,16.70%,16.70%,6,1,2,3,33.30%,0,3,3,0.00%,0.5,0,0,0,-,0.00%,0,0,0.00%,14.30%,0,0.00%,3,2,1,1,1,1,0,0,0,1,0,2,0,-0.9,0,0
Nebraska Supreme,16U,Evan Rodgers,2,6,7,1.167,3,1,16.70%,3,3,2,5,60.00%,70.00%,70.00%,5,2,1,3,66.70%,1,1,2,50.00%,0.4,0,0,0,-,0.00%,0,0,0.00%,50.00%,0,0.00%,5,0,5,1,0,1,0,0,0,1,0,0,-,8.3,0,0
1Family,16U,D Campbell,1,6,6,1,3,3,50.00%,1,2,1,3,66.70%,100.00%,100.00%,3,0,1,1,0.00%,2,0,2,100.00%,0.67,0,0,0,-,0.00%,0,0,0.00%,33.30%,0,0.00%,4,1,3,0,3,0,0,0,0,0,1,2,0,4.6,0,0
Team Ish,16U,Romain Boyer,3,6,3,0.5,1,2,33.30%,0.5,1,1,2,50.00%,75.00%,45.20%,3,0,0,0,-,1,1,2,50.00%,1,3,0,3,0.00%,33.30%,1.5,0,0.00%,16.70%,1,16.70%,4,0,4,1,2,0.5,0,0,0,1,2,1,0,1.3,0,0
Team Museum,16U,MyKel Smith,2,5,2,0.4,3,0,0.00%,-,1,3,4,25.00%,25.00%,22.50%,4,1,2,3,33.30%,0,1,1,0.00%,0.25,1,0,1,0.00%,20.00%,0.25,0,0.00%,20.00%,0,0.00%,3,2,1,1,0,-,0,0,0,1,1,0,-,4,0,0
Colorado Collective,16U,John Boswell,1,5,4,0.8,0,1,20.00%,0,0,2,2,0.00%,0.00%,53.20%,4,0,1,1,0.00%,0,1,1,0.00%,0.5,4,4,0,100.00%,40.00%,2,0,0.00%,40.00%,1,20.00%,1,1,0,0,1,0,0,0,0,0,2,3,0,1.1,0,0
Team Haliburton,16U,Nikola Djilas,2,4,2,0.5,0,0,0.00%,-,1,3,4,25.00%,25.00%,25.00%,4,1,1,2,50.00%,0,2,2,0.00%,0.5,0,0,0,-,0.00%,0,0,0.00%,25.00%,0,0.00%,2,2,0,0,0,-,0,0,0,0,0,1,0,0.6,0,0
Team Museum,16U,Lucas Spencer,3,4,6,1.5,0,0,0.00%,-,3,1,4,75.00%,75.00%,75.00%,4,3,1,4,75.00%,0,0,0,-,0,0,0,0,-,0.00%,0,0,0.00%,75.00%,0,0.00%,8,4,4,0,0,-,0,0,0,0,1,7,0,5.6,0,0
Team Museum,16U,Jeremiah Stanford,1,4,3,0.75,0,0,0.00%,-,1,2,3,33.30%,33.30%,38.70%,4,1,1,2,50.00%,0,1,1,0.00%,0.33,2,1,1,50.00%,25.00%,0.67,0,0.00%,50.00%,1,25.00%,3,1,2,0,0,-,0,0,0,0,1,3,0,1,0,0
4:44 Athletics,16U,Daniel Collins,4,4,0,0,2,1,25.00%,2,0,3,3,0.00%,0.00%,0.00%,3,0,2,2,0.00%,0,1,1,0.00%,0.33,0,0,0,-,0.00%,0,0,0.00%,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,0,-,-1.7,0,0
Rhode Island Elite,16U,Jayden Fernandez,4,4,2,0.5,1,1,25.00%,1,1,1,2,50.00%,50.00%,41.00%,2,1,1,2,50.00%,0,0,0,-,0,1,0,1,0.00%,25.00%,0.5,0,0.00%,25.00%,0,0.00%,6,3,3,1,1,1,0,0,0,1,2,2,0,3.5,0,0
Team Scoot,16U,B Alexander,1,3,4,1.333,1,0,0.00%,-,2,1,3,66.70%,66.70%,66.70%,3,2,0,2,100.00%,0,1,1,0.00%,0.33,0,0,0,-,0.00%,0,0,0.00%,66.70%,0,0.00%,1,0,1,1,0,-,1,0,0,2,0,0,-,5.4,0,0
MPJ Elite,16U,Roman Smith,5,3,0,0,0,1,33.30%,0,0,1,1,0.00%,0.00%,0.00%,2,0,0,0,-,0,1,1,0.00%,1,2,0,2,0.00%,33.30%,2,0,0.00%,0.00%,1,33.30%,3,0,3,0,0,0,1,0,0,1,1,7,0.14,-3.7,0,0
Cooz Elite,16U,Jeremiah Levi,2,3,2,0.667,0,1,33.30%,0,1,1,2,50.00%,50.00%,50.00%,2,1,0,1,100.00%,0,1,1,0.00%,0.5,0,0,0,-,0.00%,0,0,0.00%,33.30%,0,0.00%,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
Sipp United,16U,Natan Malinowski,1,1,2,2,1,0,0.00%,-,1,0,1,100.00%,100.00%,100.00%,1,1,0,1,100.00%,0,0,0,-,0,0,0,0,-,0.00%,0,0,0.00%,100.00%,0,0.00%,3,0,3,0,0,-,0,0,0,0,2,2,0,2.5,0,0
Rhode Island Elite,16U,Zion Green,1,1,0,0,0,1,100.00%,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-,-,0,0,0,-,0.00%,-,0,0.00%,0.00%,0,0.00%,0,0,0,0,0,0,0,0,-,0,0,0,-,-1,0,0
Sipp United,16U,Marcus Peoples,3,1,0,0,0,1,100.00%,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-,-,0,0,0,-,0.00%,-,0,0.00%,0.00%,0,0.00%,1,0,1,0,0,0,0,0,-,0,0,3,0,-1.9,0,0
Southern Ties,16U,Jordan Wise Jr,1,0,0,-,1,0,-,-,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-,-,0,0,0,-,-,-,0,-,-,0,-,4,2,2,2,0,-,1,0,-,3,0,0,-,5.4,0,0
Sipp United,16U,Joseph Chaney,1,0,0,-,0,0,-,-,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-,-,0,0,0,-,-,-,0,-,-,0,-,0,0,0,1,0,-,0,0,-,1,0,0,-,1,0,0
Team CPSA,16U,Julian Cunningham,1,0,0,-,0,0,-,-,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-,-,0,0,0,-,-,-,0,-,-,0,-,1,0,1,0,0,-,0,0,-,0,0,0,-,0.3,0,0
TME ,16U,Henry Robinson Jr,1,0,0,-,1,0,-,-,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-,-,0,0,0,-,-,-,0,-,-,0,-,0,0,0,0,0,-,0,0,-,0,0,0,-,0.7,0,0
