Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
Above the Rim,16U,Aiden Walter,6,51,65,1.275,8,11,21.60%,0.73,27,10,37,73.00%,79.70%,79.30%,41,22,3,25,88.00%,5,7,12,41.70%,0.32,9,6,3,66.70%,11.80%,0.24,3,5.90%,58.80%,6,11.80%,18,5,13,2,9,0.18,3,0,0,5,7,7,0.43,52,0,0
AAO Flight,16U,Koa Rockwell,6,50,30,0.6,7,7,14.00%,1,10,31,41,24.40%,29.30%,34.40%,44,6,14,20,30.00%,4,17,21,19.00%,0.51,6,6,0,100.00%,6.00%,0.15,1,2.00%,24.00%,3,6.00%,24,8,16,2,5,0.29,1,2,0.05,3,4,5,0.2,14.3,0,0
Louisiana Elite,16U,Eli Washington,6,50,43,0.86,4,5,10.00%,0.8,14,28,42,33.30%,44.00%,48.20%,45,5,13,18,27.80%,9,15,24,37.50%,0.57,6,6,0,100.00%,6.00%,0.14,0,0.00%,34.00%,3,6.00%,29,10,19,2,2,0.4,5,1,0.02,7,3,6,0.83,32.8,0,0
TME ,16U,Emmanuel Martin,8,50,54,1.08,2,8,16.00%,0.25,20,16,36,55.60%,56.90%,63.40%,43,19,15,34,55.90%,1,1,2,50.00%,0.06,15,13,2,86.70%,18.00%,0.42,3,6.00%,52.00%,8,16.00%,65,22,43,5,6,0.63,5,4,0.11,10,13,13,0.38,61,1,0
Rhode Island Elite,16U,Akol Maiwen,5,49,39,0.796,6,11,22.40%,0.55,13,20,33,39.40%,50.00%,52.80%,37,6,6,12,50.00%,7,14,21,33.30%,0.64,9,6,3,66.70%,10.20%,0.27,0,0.00%,32.70%,3,6.10%,12,5,7,6,8,0.55,2,2,0.06,8,8,8,0.25,22.9,0,0
SA Future,16U,Justin McBryde,6,49,48,0.98,2,5,10.20%,0.4,19,21,40,47.50%,55.00%,54.10%,44,13,10,23,56.50%,6,11,17,35.30%,0.43,10,4,6,40.00%,12.20%,0.25,2,4.10%,44.90%,5,10.20%,26,12,14,4,4,0.8,1,2,0.05,5,7,6,0.17,36.5,0,0
Nebraska Supreme,16U,Brevin Meyers,8,48,53,1.104,8,9,18.80%,0.89,15,20,35,42.90%,60.00%,65.80%,40,3,2,5,60.00%,12,18,30,40.00%,0.86,12,11,1,91.70%,12.50%,0.34,0,0.00%,43.80%,2,4.20%,7,2,5,4,6,0.44,0,2,0.06,4,6,4,0,36,0,0
AAO Flight,16U,Jaxsen Hollis,6,48,56,1.167,5,6,12.50%,0.83,23,13,36,63.90%,69.40%,67.80%,41,19,11,30,63.30%,4,2,6,66.70%,0.17,12,6,6,50.00%,12.50%,0.33,0,0.00%,56.30%,5,10.40%,38,20,18,2,2,0.33,6,1,0.03,8,9,3,2,59.5,1,0
Nebraska Supreme,16U,Blaize Jung,8,47,46,0.979,14,8,17.00%,1.75,17,18,35,48.60%,57.10%,59.70%,39,11,9,20,55.00%,6,9,15,40.00%,0.43,8,6,2,75.00%,10.60%,0.23,1,2.10%,42.60%,2,4.30%,24,11,13,6,5,0.75,0,0,0,6,6,8,0,43.7,0,0
Rhode Island Elite,16U,Vincent Osazee,4,47,34,0.723,2,9,19.10%,0.22,11,15,26,42.30%,44.20%,46.50%,37,10,9,19,52.60%,1,6,7,14.30%,0.27,24,11,13,45.80%,27.70%,0.92,1,2.10%,40.40%,12,25.50%,27,7,20,4,3,0.44,2,3,0.12,6,14,14,0.14,18.1,0,0
